name,pronunciation,names,persianName,englishName,numAyat,revelationPlace,revelationOrder,revelationOrder2
السَّجدَة,al-Sajdah,السجدة,سجده,Prostration,30,مَكيَّة,75,75
الأحزَاب,al-Aḥzāb,الأحزاب,احزاب,The Confederates,73,مَدنيَّة,90,90
سَبَأ,Saba’,سبإ,سبا,Sheba,54,مَكيَّة,58,58
فَاطِر,Fāṭir,فاطر,فاطر,The Originator,45,مَكيَّة,43,43
يس,Yā Sīn,يس,یس,Ya Sin,83,مَكيَّة,41,41
الصَّافات,al-Ṣaffāt,الصافات,صافات,The Ranged Ones,182,مَكيَّة,56,56
ص,Ṣād,ص,ص,Sad,88,مَكيَّة,38,38
الزُّمَر,al-Zumar,الزمر,زمر,The Throngs,75,مَكيَّة,59,59
غَافِر,al-Ghāfir,غافر|المُؤْمِن,غافر,The Forgiver,85,مَكيَّة,60,60
فُصِّلَتْ,Fuṣṣilat,فصلت|حم سجدة,فصلت,Elaborated,54,مَكيَّة,61,61
الشُّورَى,al-Shūrā,الشورى,شوری,Consultation,53,مَكيَّة,62,62
